Date,SMB,HML
19970101,-1.93,-1.43
19970201,-3.29,5.7
19970301,-0.44,3.43
19970401,-5.74,0.09
19970501,5.16,-4.08
19970601,1.19,1.62
19970701,-2.7,0.2
19970801,7.33,1.12
19970901,2.56,0.29
19971001,-0.8,2.33
19971101,-5.11,1.24
19971201,-2.66,4.03
19980101,-1.02,-1.65
19980201,0.26,-0.78
19980301,-1.21,1.54
19980401,0.03,0.89
19980501,-3.4,3.43
19980601,-3.32,-1.8
19980701,-4.94,-1.71
19980801,-5.68,3.56
19980901,0.06,-3.42
19981001,-3.11,-2.21
19981101,1.21,-3.16
19981201,-0.54,-4.2
19990101,0.81,-4.66
19990201,-6.08,1.91
19990301,-3.76,-2.77
19990401,3.98,2.34
19990501,3.33,2.36
19990601,3.15,-3.4
19990701,2.55,-0.48
19990801,-1.0,-1.72
19990901,3.36,-3.42
19991001,-6.75,-3.16
19991101,7.17,-6.07
19991201,7.07,-8.4
20000101,5.7,-1.75
20000201,21.19,-8.94
20000301,-16.82,7.66
20000401,-6.93,7.41
20000501,-6.33,5.01
20000601,12.8,-8.22
20000701,-3.16,8.4
20000801,-0.65,-1.47
20000901,-1.89,7.28
20001001,-3.87,5.71
20001101,-3.5,12.53
20001201,0.73,7.67
20010101,6.76,-5.33
20010201,-0.82,12.58
20010301,0.17,6.52
20010401,0.61,-4.8
20010501,2.53,3.34
20010601,6.25,-1.16
20010701,-4.23,5.35
20010801,2.48,2.33
20010901,-6.25,1.57
20011001,7.57,-7.66
20011101,-0.48,2.16
20011201,4.79,0.9
20020101,1.18,3.38
20020201,-1.07,2.21
20020301,4.14,1.08
20020401,5.84,3.96
20020501,-3.26,1.57
20020601,4.2,0.04
20020701,-5.22,-3.71
20020801,-2.94,3.23
20020901,2.39,1.49
20021001,-3.44,-4.07
20021101,3.23,-1.51
20021201,-0.01,2.28
20030101,1.28,-0.86
20030201,-0.46,-1.33
20030301,0.93,-2.15
20030401,0.64,0.89
20030501,4.49,0.11
20030601,1.75,0.39
20030701,5.23,-1.08
20030801,2.7,1.61
20030901,0.71,0.05
20031001,2.64,1.92
20031101,1.99,1.8
20031201,-2.76,1.58
20040101,2.53,2.45
20040201,-1.56,0.86
20040301,1.75,0.24
20040401,-1.73,-3.07
20040501,-0.24,-0.29
20040601,2.28,1.23
20040701,-3.85,3.28
20040801,-1.56,0.96
20040901,3.01,-0.07
20041001,0.13,-0.29
20041101,3.72,1.43
20041201,-0.07,-0.18
20050101,-1.72,2.01
20050201,-0.55,1.63
20050301,-1.35,2.14
20050401,-3.97,0.05
20050501,2.8,-0.66
20050601,2.55,2.82
20050701,2.87,-0.83
20050801,-0.98,1.38
20050901,-0.66,0.74
20051001,-1.19,0.45
20051101,0.97,-1.16
20051201,-0.46,0.24
20060101,5.4,0.99
20060201,-0.37,-0.26
20060301,3.49,0.68
20060401,-1.41,2.37
20060501,-3.09,2.45
20060601,-0.36,0.92
20060701,-3.99,2.67
20060801,1.02,-1.98
20060901,-1.29,-0.04
20061001,1.72,-0.3
20061101,0.78,0.07
20061201,-1.14,2.72
20070101,0.16,-0.69
20070201,1.29,-0.17
20070301,0.08,-0.83
20070401,-2.18,-1.38
20070501,0.27,-0.63
20070601,0.78,-1.1
20070701,-2.45,-3.55
20070801,-0.17,-1.91
20070901,-2.22,-2.21
20071001,0.25,-2.91
20071101,-2.8,-1.0
20071201,0.14,-0.59
20080101,-0.89,3.67
20080201,-0.27,-0.88
20080301,0.79,0.14
20080401,-1.59,-0.96
20080501,3.05,-1.45
20080601,1.22,-2.77
20080701,2.47,5.27
20080801,3.54,1.45
20080901,-1.18,6.07
20081001,-2.52,-2.37
20081101,-2.82,-6.31
20081201,3.51,0.14
20090101,0.33,-11.12
20090201,0.23,-7.03
20090301,0.0,3.4
20090401,5.14,5.21
20090501,-2.63,0.49
20090601,2.63,-2.62
20090701,1.9,4.87
20090801,-1.1,7.5
20090901,2.41,0.89
20091001,-4.18,-4.03
20091101,-2.48,-0.25
20091201,6.13,-0.11
20100101,0.37,0.33
20100201,1.19,3.19
20100301,1.44,2.11
20100401,4.86,2.91
20100501,0.14,-2.39
20100601,-1.84,-4.52
20100701,0.18,-0.36
20100801,-3.02,-1.9
20100901,3.93,-3.23
20101001,1.07,-2.46
20101101,3.78,-0.95
20101201,0.68,3.64
20110101,-2.52,0.82
20110201,1.53,1.29
20110301,2.58,-1.76
20110401,-0.37,-2.43
20110501,-0.58,-2.05
20110601,-0.11,-0.42
20110701,-1.37,-0.88
20110801,-3.03,-2.56
20110901,-3.35,-1.71
20111001,3.32,0.13
20111101,-0.14,-0.48
20111201,-0.66,1.68
20120101,2.1,-0.9
20120201,-1.84,0.46
20120301,-0.68,1.21
20120401,-0.39,-0.77
20120501,0.16,-1.04
20120601,0.78,0.58
20120701,-2.62,-0.05
20120801,0.47,1.12
20120901,0.49,1.56
20121001,-1.09,3.61
20121101,0.53,-0.83
20121201,1.45,3.53
20130101,0.36,0.98
20130201,-0.42,0.13
20130301,0.75,-0.23
20130401,-2.4,0.53
20130501,1.66,2.61
20130601,1.16,-0.09
20130701,1.86,0.56
20130801,0.29,-2.66
20130901,2.89,-1.15
20131001,-1.53,1.21
20131101,1.19,0.29
20131201,-0.59,-0.05
20140101,0.87,-2.02
20140201,0.31,-0.36
20140301,-1.85,4.9
20140401,-4.21,1.12
20140501,-1.9,-0.12
20140601,3.08,-0.67
20140701,-4.27,0.02
20140801,0.36,-0.42
20140901,-3.73,-1.38
20141001,4.28,-1.8
20141101,-2.04,-3.07
20141201,2.48,2.23
20150101,-0.51,-3.56
20150201,0.52,-1.81
20150301,3.02,-0.41
20150401,-3.04,1.88
20150501,0.89,-1.1
20150601,2.85,-0.74
20150701,-4.09,-4.21
20150801,0.44,2.73
20150901,-2.61,0.39
20151001,-1.98,-0.25
20151101,3.68,-0.49
20151201,-2.86,-2.45
20160101,-3.36,2.01
20160201,0.83,-0.6
20160301,0.82,1.11
20160401,0.69,3.28
20160501,-0.27,-1.6
20160601,0.64,-1.4
20160701,2.6,-1.23
20160801,1.13,3.31
20160901,2.04,-1.21
20161001,-4.43,4.07
20161101,5.47,8.22
20161201,0.11,3.51
20170101,-1.06,-2.81
20170201,-2.01,-1.79
20170301,1.17,-3.33
20170401,0.72,-2.11
20170501,-2.61,-3.67
20170601,2.15,1.45
20170701,-1.47,-0.36
20170801,-1.62,-2.19
20170901,4.47,3.14
20171001,-1.95,0.12
20171101,-0.58,-0.09
20171201,-1.29,0.17
20180101,-3.09,-1.32
20180201,0.3,-1.01
20180301,4.05,-0.12
20180401,1.13,0.5
20180501,5.28,-3.15
20180601,1.19,-2.31
20180701,-2.21,0.57
20180801,1.15,-3.92
20180901,-2.28,-1.63
20181001,-4.78,3.46
20181101,-0.71,0.34
20181201,-2.48,-1.89
20190101,2.89,-0.46
20190201,2.12,-2.71
20190301,-3.05,-4.19
20190401,-1.75,2.02
