Date,UK,US
19970101,-3.78,6.1
19970201,2.27,-0.04
19970301,0.2,-5.22
19970401,0.98,5.84
19970501,3.71,4.92
19970601,0.54,3.83
19970701,3.83,7.18
19970801,-2.47,-6.65
19970901,7.83,4.5
19971001,-4.63,-3.45
19971101,-0.35,4.12
19971201,2.94,0.76
19980101,4.03,0.57
19980201,6.11,6.3
19980301,4.47,4.48
19980401,-0.59,0.47
19980501,-4.49,-2.71
19980601,0.73,3.59
19980701,-2.8,-1.69
19980801,-8.06,-14.63
19980901,-2.87,5.85
19981001,5.26,7.02
19981101,3.65,6.08
19981201,2.35,5.2
19990101,-1.84,3.61
19990201,1.42,-3.5
19990301,2.32,3.45
19990401,3.07,2.91
19990501,-6.33,-3.03
19990601,-0.54,4.67
19990701,0.7,-3.94
19990801,-1.19,-1.34
19990901,-2.43,-3.67
19991001,2.1,5.83
19991101,0.42,1.44
19991201,4.91,6.28
20000101,-9.95,-6.05
20000201,-3.97,-3.07
20000301,6.55,9.28
20000401,-4.97,-3.92
20000501,-4.17,-3.34
20000601,0.13,1.7
20000701,-0.1,-2.48
20000801,0.29,4.5
20000901,-3.52,-6.13
20001001,-0.07,-1.41
20001101,-6.66,-8.59
20001201,6.05,-0.86
20010101,-2.28,2.96
20010201,-7.53,-9.65
20010301,-5.57,-7.06
20010401,5.53,7.09
20010501,-4.12,-0.15
20010601,-4.14,-2.95
20010701,-0.54,-1.63
20010801,-2.03,-7.39
20010901,-7.36,-8.34
20011001,1.23,0.76
20011101,1.37,6.94
20011201,1.72,-0.09
20020101,-4.86,-2.11
20020201,-1.5,-2.71
20020301,3.49,3.04
20020401,-0.44,-7.17
20020501,-2.47,-1.5
20020601,-5.0,-8.35
20020701,-7.48,-7.89
20020801,-2.24,-0.28
20020901,-11.13,-12.02
20021001,7.08,8.33
20021101,2.16,5.23
20021201,-2.88,-6.8
20030101,-7.72,-3.14
20030201,-2.74,-2.32
20030301,-1.44,0.19
20030401,9.45,7.62
20030501,5.21,4.58
20030601,0.08,0.5
20030701,-0.13,1.12
20030801,-1.97,1.11
20030901,2.73,-1.89
20031001,6.07,4.95
20031101,1.98,0.2
20031201,6.84,4.42
20040101,-0.95,1.1
20040201,3.65,0.45
20040301,-3.74,-2.32
20040401,-1.5,-2.25
20040501,1.28,0.57
20040601,-0.84,1.14
20040701,-1.67,-4.13
20040801,-0.74,-0.26
20040901,2.45,0.35
20041001,1.76,0.8
20041101,5.46,3.32
20041201,2.55,2.74
20050101,-1.36,-3.17
20050201,3.83,1.27
20050301,-3.94,-2.34
20050401,-1.84,-2.52
20050501,-1.87,2.49
20050601,0.68,-0.5
20050701,0.64,3.04
20050801,1.71,-1.73
20050901,1.02,0.14
20051001,-3.71,-2.35
20051101,-0.61,3.18
20051201,2.21,-0.68
20060101,5.32,2.03
20060201,-1.6,-0.72
20060301,1.5,0.54
20060401,5.15,0.6
20060501,-2.92,-3.77
20060601,0.12,-0.61
20060701,1.61,-0.37
20060801,1.12,1.57
20060901,-1.24,1.82
20061001,4.32,2.71
20061101,1.4,1.14
20061201,1.87,0.47
20070101,-0.79,1.11
20070201,-1.04,-2.65
20070301,1.95,0.36
20070401,3.59,3.59
20070501,0.74,2.68
20070601,0.42,-2.39
20070701,-3.15,-3.79
20070801,-2.11,0.71
20070901,2.85,3.04
20071001,5.2,0.98
20071101,-6.28,-5.04
20071201,-3.36,-1.34
20080101,-9.57,-6.78
20080201,-0.58,-3.93
20080301,-3.63,-1.13
20080401,5.55,4.23
20080501,-1.59,0.78
20080601,-7.16,-8.91
20080701,-4.82,-1.88
20080801,-4.48,0.55
20080901,-15.63,-9.94
20081001,-19.73,-17.85
20081101,-7.7,-8.28
20081201,-3.59,0.42
20090101,-6.89,-8.88
20090201,-9.49,-11.18
20090301,2.64,7.75
20090401,11.57,8.83
20090501,12.64,4.63
20090601,-2.29,-0.55
20090701,8.53,6.79
20090801,4.29,2.64
20090901,2.02,3.12
20091001,0.6,-2.65
20091101,1.75,5.09
20091201,1.96,1.3
20100101,-5.47,-4.2
20100201,-2.59,2.25
20100301,4.94,5.23
20100401,-1.95,0.9
20100501,-11.93,-8.87
20100601,-3.07,-6.07
20100701,11.39,6.26
20100801,-3.08,-5.27
20100901,8.18,8.32
20101001,3.19,3.22
20101101,-5.83,-0.72
20101201,6.61,5.92
20110101,1.29,1.7
20110201,3.3,2.53
20110301,-3.51,-0.63
20110401,6.22,2.35
20110501,-3.17,-1.9
20110601,-3.81,-2.46
20110701,-0.61,-2.66
20110801,-8.52,-6.37
20110901,-9.57,-7.94
20111001,11.34,10.23
20111101,-3.98,-1.15
20111201,-0.57,0.17
20120101,2.84,3.99
20120201,4.01,3.55
20120301,-2.22,2.44
20120401,0.41,-1.32
20120501,-12.56,-6.99
20120601,6.14,3.19
20120701,0.49,0.63
20120801,2.03,1.48
20120901,1.56,1.78
20121001,-0.15,-2.53
20121101,0.38,-0.24
20121201,1.38,0.12
20130101,3.18,4.56
20130201,-3.52,0.44
20130301,0.07,3.0
20130401,2.16,1.26
20130501,-0.94,1.25
20130601,-6.14,-2.1
20130701,5.91,4.52
20130801,-1.75,-3.58
20130901,4.85,2.55
20131001,2.71,3.71
20131101,0.03,2.02
20131201,2.02,1.91
20140101,-4.97,-4.1
20140201,5.97,3.85
20140301,-4.26,-0.06
20140401,3.56,-0.11
20140501,-0.21,1.55
20140601,-0.22,1.38
20140701,-1.96,-2.13
20140801,-0.94,3.19
20140901,-5.93,-2.31
20141001,-3.12,1.69
20141101,-0.22,1.82
20141201,-3.36,-1.08
20150101,-1.71,-3.52
20150201,5.26,4.99
20150301,-6.99,-2.2
20150401,5.89,0.21
20150501,-1.1,0.5
20150601,-4.4,-2.66
20150701,1.04,1.28
20150801,-8.76,-6.88
20150901,-5.18,-3.42
20151001,6.42,7.52
20151101,-3.28,-0.49
20151201,-4.59,-2.46
20160101,-6.69,-6.03
20160201,-2.12,-1.08
20160301,3.68,6.06
20160401,2.45,-0.22
20160501,-1.58,0.97
20160601,-4.52,-0.51
20160701,2.11,3.07
20160801,-1.24,-0.7
20160901,0.34,-0.64
20161001,-5.99,-2.61
20161101,-0.72,2.73
20161201,3.46,1.11
20170101,0.65,1.36
20170201,0.64,3.09
20170301,0.77,-0.62
20170401,1.12,0.36
20170501,3.46,0.51
20170601,-2.9,-0.12
20170701,1.92,1.32
20170801,-2.2,-0.52
20170901,2.6,1.3
20171001,-0.19,1.58
20171101,-0.92,2.19
20171201,4.26,0.35
20180101,2.39,5.03
20180201,-7.59,-4.47
20180301,-1.34,-3.19
20180401,3.8,-0.31
20180501,-1.98,1.6
20180601,-1.87,-0.05
20180701,0.22,2.87
20180801,-5.6,2.49
20180901,1.01,-0.28
20181001,-7.6,-7.65
20181101,-2.74,1.1
20181201,-4.51,-9.76
20190101,6.3,7.48
20190201,2.0,2.52
20190301,-0.06,1.1
20190401,1.21,3.29
